Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Exclude from Simulation,Exclude from Position Files,Footprint,Datasheet,Recommended Spec,Robu Purchase Link,Robu Resistor Link,Resistor Alternative
"R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,R29,R37,R47,R48,R56",18,10k,,,,,${EXCLUDE_FROM_POS_FILES},Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,"10 kΩ, ±1%, 1206, 0.25 W",,https://robu.in/product/10k-ohm-1-4w-1206-surface-mount-chip-resistor/,
"R15,R19,R20,R21,R22,R23,R24,R25,R27,R30,R33,R35,R38,R39,R44,R45,R49,R50,R51,R52,R53,R54,R55",23,1k,,,,,${EXCLUDE_FROM_POS_FILES},Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,"1 kΩ, ±1%, 1206, 0.25 W",,https://robu.in/product/rc1206fr-071kl-yageo-res-thick-film-1206-1k-ohm-1-0-25w1-4w-%C2%B1100ppm-c-pad-smd-t-r/,
"R17,R18",2,3k,,,,,${EXCLUDE_FROM_POS_FILES},Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,"3.01 kΩ, ±1%, 1206, 0.25 W — near substitute for 3 kΩ (+0.33%)",,https://robu.in/product/ac1206fr-073k01l-yageo-250mw-3-01k%CF%89-thick-film-200v-%C2%B11-%C2%B1100ppm-%E2%84%83-1206-chip-resistor-surface-mount-rohs/,3.01 kΩ
"R26,R28,R36,R40,R41,R42,R43",7,2.2k,,,,,${EXCLUDE_FROM_POS_FILES},Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,"2.00 kΩ, ±1%, 1206 preferred; Robu exact listing not verified",,https://robu.in/?s=2k+1206+1%25+resistor&post_type=product,2.05 kΩ is the next practical E96-style near-value to check if 2.00 kΩ is unavailable
"R31,R32",2,1K,,,,,${EXCLUDE_FROM_POS_FILES},Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,"1 kΩ, ±1%, 1206, 0.25 W",,https://robu.in/product/rc1206fr-071kl-yageo-res-thick-film-1206-1k-ohm-1-0-25w1-4w-%C2%B1100ppm-c-pad-smd-t-r/,
R34,1,2.2k,,,,,${EXCLUDE_FROM_POS_FILES},Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,"2.00 kΩ, ±1%, 1206 preferred; same as 2 kΩ group",,https://robu.in/?s=2k+1206+1%25+resistor&post_type=product,2.05 kΩ near alternative to check if exact 2.00 kΩ is unavailable
R46,1,1M,,,,,${EXCLUDE_FROM_POS_FILES},Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,"1 MΩ, ±1%, 0.25 W; THT as currently specified",,https://robu.in/?s=1M+Ohm+0.25W+1%25+Metal+Film+Resistor&post_type=product,
"SW1,SW2",2,SW_SPDT,,,,,${EXCLUDE_FROM_POS_FILES},Slide_switch:SS-12F17_1P2T,,,,,
"U1,U2",2,ADG708BRUZ,,,,,${EXCLUDE_FROM_POS_FILES},Analog_mux:TSSOP16,,,,,
U3,1,STM32G431C6Tx,,,,,${EXCLUDE_FROM_POS_FILES},Package_QFP:LQFP-48_7x7mm_P0.5mm,https://www.st.com/resource/en/datasheet/stm32g431c6.pdf,,,,
